"datetime","deployment","pm10.avg","wd","ws"
2015-12-12 17:00:00,"T29-4N",5.197989,303.224,1.861832192
2015-12-12 18:00:00,"T29-4N",6.415461,203.4143,2.057814528
2015-12-12 19:00:00,"T29-4N",6.787282,116.8445,2.547770368
2015-12-12 20:00:00,"T29-4N",5.668228,159.2646,1.95982336
2015-12-12 21:00:00,"T29-4N",6.654029,18.78814,1.567858688
2015-12-12 22:00:00,"T29-4N",4.460571,13.88792,0.783929344
2015-12-12 23:00:00,"T29-4N",4.237318,234.5191,0.881920512
2015-12-13 00:00:00,"T29-4N",4.455277,259.0266,0.685938176
2015-12-13 01:00:00,"T29-4N",4.310883,318.0265,1.371876352
2015-12-13 02:00:00,"T29-4N",4.920174,350.0523,1.95982336
2015-12-13 03:00:00,"T29-4N",4.380288,343.3771,1.46986752
2015-12-13 04:00:00,"T29-4N",2.447056,331.3032,3.527682048
2015-12-13 05:00:00,"T29-4N",3.019534,318.4968,2.253796864
2015-12-13 06:00:00,"T29-4N",4.449039,15.05175,3.037726208
2015-12-13 07:00:00,"T29-4N",2.82594,251.2158,2.547770368
2015-12-13 08:00:00,"T29-4N",4.612187,14.13499,1.665849856
2015-12-13 09:00:00,"T29-4N",4.486839,50.40657,1.077902848
2015-12-13 10:00:00,"T29-4N",8.788301,171.8413,1.665849856
2015-12-13 11:00:00,"T29-4N",4.482982,76.66315,0.685938176
2015-12-13 12:00:00,"T29-4N",2.091161,164.0933,1.665849856
2015-12-13 13:00:00,"T29-4N",2.249366,111.5477,3.233708544
2015-12-13 14:00:00,"T29-4N",17.829,234.4844,13.032825344
2015-12-13 15:00:00,"T29-4N",71.33902,213.0977,10.28907264
2015-12-13 16:00:00,"T29-4N",7.077289,193.3776,7.83929344
2015-12-13 17:00:00,"T29-4N",5.110487,222.5535,7.83929344
2015-12-13 18:00:00,"T29-4N",10.11386,300.8096,5.87947008
2015-12-13 19:00:00,"T29-4N",6.006737,329.2681,1.665849856
2015-12-13 20:00:00,"T29-4N",5.452398,294.1864,4.997549568
2015-12-13 21:00:00,"T29-4N",6.320226,298.3736,7.545319936
2015-12-13 22:00:00,"T29-4N",5.999728,305.5473,4.801567232
2015-12-13 23:00:00,"T29-4N",6.074594,132.4901,1.861832192
2015-12-14 00:00:00,"T29-4N",4.529164,306.9582,6.173443584
2015-12-14 01:00:00,"T29-4N",5.734664,280.6907,7.3493376
2015-12-14 02:00:00,"T29-4N",5.34071,311.6525,6.957372928
2015-12-14 03:00:00,"T29-4N",6.638224,306.4576,7.937284608
2015-12-14 04:00:00,"T29-4N",6.157056,294.0347,12.444878336
2015-12-14 05:00:00,"T29-4N",6.61096,291.9498,8.035275776
2015-12-14 06:00:00,"T29-4N",5.207032,295.8509,8.32924928
2015-12-14 07:00:00,"T29-4N",7.150257,320.0811,7.3493376
2015-12-14 08:00:00,"T29-4N",4.830154,325.7506,8.133266944
2015-12-14 09:00:00,"T29-4N",7.836114,292.0408,11.856931328
